央视卫视,#genre#
CCTV-1综合,http://192.168.1.1:8888/udp/239.93.12.184:5140#rtsp://182.135.123.41/PLTV/88888893/224/3221226889/10000100000000060000000000622347_0.smil
CCTV-2财经,http://192.168.1.1:8888/udp/239.93.13.23:6000#rtsp://182.135.123.41/PLTV/88888896/224/3221227983/10000100000000060000000003751359_0.smil
CCTV-3综艺,http://192.168.1.1:8888/udp/239.93.12.11:2223#rtsp://182.135.123.41/PLTV/88888893/224/3221226816/10000100000000060000000001366243_0.smil
CCTV-4国际,http://192.168.1.1:8888/udp/239.93.12.60:5140#rtsp://182.135.123.41/PLTV/88888896/224/3221227928/10000100000000060000000003751404_0.smil
CCTV-5体育,http://192.168.1.1:8888/udp/239.93.12.12:2224#rtsp://182.135.123.41/PLTV/88888893/224/3221227219/10000100000000060000000001366244_0.smil
CCTV-6电影,http://192.168.1.1:8888/udp/239.93.12.13:2226#rtsp://182.135.123.41/PLTV/88888893/224/3221226820/10000100000000060000000001366343_0.smil
CCTV-7国防军事,http://192.168.1.1:8888/udp/239.93.13.67:5140#rtsp://182.135.123.41/PLTV/88888896/224/3221227989/10000100000000060000000003751413_0.smil
CCTV-8电视剧,http://192.168.1.1:8888/udp/239.93.12.14:2225#rtsp://182.135.123.41/PLTV/88888893/224/3221226818/10000100000000060000000001366245_0.smil
CCTV-9记录,http://192.168.1.1:8888/udp/239.93.13.24:5140#rtsp://182.135.123.41/PLTV/88888896/224/3221227993/10000100000000060000000003751454_0.smil
CCTV-10科教,http://192.168.1.1:8888/udp/239.93.13.28:5140#rtsp://182.135.123.41/PLTV/88888896/224/3221227995/10000100000000060000000003751458_0.smil
CCTV-11戏曲,http://192.168.1.1:8888/udp/239.93.12.3:5140#rtsp://182.135.123.41/PLTV/88888893/224/3221227151/10000100000000060000000001098363_0.smil
CCTV-12法制,http://192.168.1.1:8888/udp/239.93.13.30:8124#rtsp://182.135.123.41/PLTV/88888896/224/3221227986/10000100000000060000000003751507_0.smil
CCTV-14少儿,http://192.168.1.1:8888/udp/239.93.13.29:6000#rtsp://182.135.123.41/PLTV/88888896/224/3221227992/10000100000000060000000003751527_0.smil
CCTV5加,http://192.168.1.1:8888/udp/239.93.12.36:8004#rtsp://182.135.123.41/PLTV/88888893/224/3221226876/10000100000000060000000001827878_0.smil
CCTV-13新闻,http://192.168.1.1:8888/udp/239.93.12.66:5140#rtsp://182.135.123.41/PLTV/88888888/224/3221226283/00000100000000060000000000035237_0.smil
CCTV-15音乐,http://192.168.1.1:8888/udp/239.93.12.68:5140#rtsp://182.135.123.41/PLTV/88888888/224/3221226287/00000100000000060000000000035239_0.smil
CCTV-17农业,http://192.168.1.1:8888/udp/239.93.12.92:5140
CGTN,http://192.168.1.1:8888/udp/239.93.12.62:5140#rtsp://182.135.123.41/PLTV/88888888/224/3221226137/00000100000000060000000000035160_0.smil
湖南卫视,http://192.168.1.1:8888/udp/239.93.12.88:5140#rtsp://182.135.123.41/PLTV/88888896/224/3221227953/10000100000000060000000003734332_0.smil
江苏卫视,http://192.168.1.1:8888/udp/239.93.12.89:5140#rtsp://182.135.123.41/PLTV/88888896/224/3221227959/10000100000000060000000003734295_0.smil
浙江卫视,http://192.168.1.1:8888/udp/239.93.12.124:5140#rtsp://182.135.123.41/PLTV/88888896/224/3221227968/10000100000000060000000003734350_0.smil
东方卫视,http://192.168.1.1:8888/udp/239.93.12.123:5140#rtsp://182.135.123.41/PLTV/88888896/224/3221227922/10000100000000060000000003734364_0.smil
北京卫视,http://192.168.1.1:8888/udp/239.93.12.180:5140#rtsp://182.135.123.41/PLTV/88888896/224/3221227987/10000100000000060000000003734368_0.smil
深圳卫视,http://192.168.1.1:8888/udp/239.93.12.182:5140#rtsp://182.135.123.41/PLTV/88888896/224/3221227965/10000100000000060000000003734360_0.smil
四川卫视,http://192.168.1.1:8888/udp/239.93.12.169:5140#rtsp://182.135.123.41/PLTV/88888888/224/3221226667/10000100000000060000000000165856_0.smil
天津卫视,http://192.168.1.1:8888/udp/239.93.12.167:5140#rtsp://182.135.123.41/PLTV/88888896/224/3221227956/10000100000000060000000003734376_0.smil
湖北卫视,http://192.168.1.1:8888/udp/239.93.12.250:5140#rtsp://182.135.123.41/PLTV/88888896/224/3221227974/10000100000000060000000003734390_0.smil
广东卫视,http://192.168.1.1:8888/udp/239.93.12.181:5140#rtsp://182.135.123.41/PLTV/88888896/224/3221227971/10000100000000060000000003742736_0.smil
山东卫视,http://192.168.1.1:8888/udp/239.93.12.168:5140#rtsp://182.135.123.41/PLTV/88888896/224/3221227980/10000100000000060000000003734383_0.smil
黑龙江卫视,http://192.168.1.1:8888/udp/239.93.12.183:5140#rtsp://182.135.123.41/PLTV/88888896/224/3221227977/10000100000000060000000003743094_0.smil
重庆卫视,http://192.168.1.1:8888/udp/239.93.13.107:5140#rtsp://182.135.123.41/PLTV/88888896/224/3221228005/10000100000000060000000003751248_0.smil
东南卫视,http://192.168.1.1:8888/udp/239.93.12.42:5140#rtsp://182.135.123.41/PLTV/88888896/224/3221228382/10000100000000060000000004634240_0.smil
安徽卫视,http://192.168.1.1:8888/udp/239.93.12.75:5140#rtsp://182.135.123.41/PLTV/88888888/224/3221226297/00000100000000060000000000035244_0.smil
辽宁卫视,http://192.168.1.1:8888/udp/239.93.12.74:5140#rtsp://182.135.123.41/PLTV/88888888/224/3221226123/00000100000000060000000000035152_0.smil
云南卫视,http://192.168.1.1:8888/udp/239.93.12.174:5140#rtsp://182.135.123.41/PLTV/88888893/224/3221227145/10000100000000060000000001098321_0.smil
河南卫视,http://192.168.1.1:8888/udp/239.93.12.84:5140#rtsp://182.135.123.41/PLTV/88888888/224/3221226249/00000100000000060000000000035219_0.smil
江西卫视,http://192.168.1.1:8888/udp/239.93.12.83:5140#rtsp://182.135.123.41/PLTV/88888888/224/3221228430/585951199.smil
